trainer_id,name,"Total Parent 
Response Rate %",Total Teacher Response Rate %,Total Student Response Rate %,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Supportive Environment Score,Strong Family-Community Ties Score,Trust Score,domain
01M015,P.S. 015 ROBERTO CLEMENTE,91,100,,4.1,4.19,4.02,,4.18,3.96,Unknown
01M019,P.S. 019 ASHER LEVY,100,93,,4.53,4.51,4.8,,4.66,3.76,Unknown
01M020,P.S. 020 ANNA SILVER,58,90,,2.71,2.98,1.92,,3.84,3.14,Unknown
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,29,100,95.0,2.69,2.59,2.14,,3.67,2.38,Unknown
01M063,THE STAR ACADEMY - P.S.63,80,100,,,,,,,3.77,Unknown
01M064,P.S. 064 ROBERT SIMON,52,96,,4.56,4.09,3.74,,4.18,4.04,Unknown
01M110,P.S. 110 FLORENCE NIGHTINGALE,79,77,,3.11,3.15,1.96,,3.67,3.29,Unknown
01M134,P.S. 134 HENRIETTA SZOLD,46,93,,2.51,1.53,3.19,,3.38,2.55,Unknown
01M140,P.S. 140 NATHAN STRAUS,57,89,87.0,3.44,4.21,3.4,,3.59,3.7,Unknown
01M142,P.S. 142 AMALIA CASTRO,100,100,,3.55,3.73,3.23,,4.01,3.12,Unknown
01M184,P.S. 184M SHUANG WEN,92,100,100.0,2.68,2.49,2.77,,3.42,3.09,Unknown
01M188,P.S. 188 THE ISLAND SCHOOL,99,69,66.0,4.18,4.66,3.85,,4.4,4.72,Unknown
01M292,ORCHARD COLLEGIATE ACADEMY,49,100,82.0,3.75,3.48,3.3,,3.06,3.88,Unknown
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,78,92,,3.89,3.97,3.81,,4.74,3.62,Unknown
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,76,86,92.0,4.08,3.92,2.7,,3.2,3.84,Unknown
01M361,THE CHILDREN'S WORKSHOP SCHOOL,31,81,,4.32,4.17,3.75,,4.4,4.2,Unknown
01M363,NEIGHBORHOOD SCHOOL,54,92,,3.84,4.2,4.06,,4.23,3.82,Unknown
01M364,EARTH SCHOOL,59,79,,4.69,4.39,4.28,,4.57,3.78,Unknown
01M378,SCHOOL FOR GLOBAL LEADERS,74,91,77.0,3.72,4.06,4.88,,4.17,4.32,Unknown
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,37,100,94.0,,,,,,4.15,Unknown
01M450,EAST SIDE COMMUNITY SCHOOL,74,94,91.0,4.84,4.5,4.57,,4.65,4.51,Unknown
01M458,FORSYTH SATELLITE ACADEMY,8,81,36.0,3.76,4.08,3.61,,2.99,4.48,Unknown
01M509,MARTA VALLE HIGH SCHOOL,19,54,74.0,2.03,2.63,1.92,,2.44,1.83,Unknown
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,47,100,78.0,4.37,4.24,3.74,,4.02,4.41,Unknown
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",67,88,96.0,3.28,3.8,3.96,,3.74,2.97,Unknown
01M650,CASCADES HIGH SCHOOL,16,93,64.0,3.65,3.21,3.16,,3.53,3.39,Unknown
01M696,BARD HIGH SCHOOL EARLY COLLEGE,49,71,94.0,,,,,,3.6,Unknown
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,51,74,97.0,3.55,3.72,3.58,,4.01,3.76,Unknown
02M001,P.S. 001 ALFRED E. SMITH,76,73,,3.2,3.11,3.08,,4.1,4.16,Unknown
02M002,P.S. 002 MEYER LONDON,76,74,,3.58,3.97,3.22,,4.1,4.07,Unknown
02M003,P.S. 003 CHARRETTE SCHOOL,59,100,,3.73,3.71,3.25,,4.27,4.41,Unknown
02M006,P.S. 006 LILLIE D. BLAKE,54,61,,4.3,3.27,4.85,,4.4,3.18,Unknown
02M011,P.S. 011 WILLIAM T. HARRIS,64,88,,4.43,3.8,4.45,,4.4,3.97,Unknown
02M033,P.S. 033 CHELSEA PREP,70,73,,3.67,3.17,4.29,,4.23,3.35,Unknown
02M040,P.S. 040 AUGUSTUS SAINT-GAUDENS,51,70,,4.24,3.68,4.86,,4.57,4.09,Unknown
02M041,P.S. 041 GREENWICH VILLAGE,56,100,,4.54,3.7,4.85,,4.74,4.04,Unknown
02M042,P.S. 042 BENJAMIN ALTMAN,85,90,,4.07,4.52,4.44,,4.4,4.63,Unknown
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,24,76,96.0,3.71,2.42,3.53,,2.79,2.76,Unknown
02M051,P.S. 051 ELIAS HOWE,71,84,,4.24,3.13,3.63,,4.49,3.84,Unknown
02M059,P.S. 059 BEEKMAN HILL INTERNATIONAL,59,68,,4.54,3.75,4.92,,4.57,3.91,Unknown
02M077,P.S. 77 LOWER LAB SCHOOL,81,78,,3.59,4.05,4.38,,4.49,2.42,Unknown
02M089,P.S. 89,49,76,,4.57,3.95,4.94,,4.49,4.61,Unknown
02M104,J.H.S. 104 SIMON BARUCH,71,89,91.0,3.59,3.23,3.82,,2.86,3.43,Unknown
02M111,P.S. 111 ADOLPH S. OCHS,39,91,,3.51,3.44,3.04,,3.84,3.65,Unknown
02M114,EAST SIDE MIDDLE SCHOOL,64,100,98.0,4.5,4.28,4.74,,3.87,4.41,Unknown
02M116,P.S. 116 MARY LINDLEY MURRAY,40,86,,4.69,4.23,4.9,,4.49,4.47,Unknown
02M124,P.S. 124 YUNG WING,100,98,,3.76,3.42,3.58,,4.18,3.87,Unknown
02M126,P.S. 126 JACOB AUGUST RIIS,57,79,95.0,4.59,4.1,4.38,,3.64,4.14,Unknown
02M130,P.S. 130 HERNANDO DE SOTO,75,100,,3.99,4.39,3.72,,4.32,4.43,Unknown
02M131,M.S. 131,61,92,92.0,4.38,4.05,3.86,,3.72,4.23,Unknown
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,41,100,94.0,3.42,3.42,3.85,,3.4,3.55,Unknown
02M139,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,33,100,88.0,3.52,4.17,3.25,,3.21,2.99,Unknown
02M150,P.S. 150,88,100,,4.97,4.23,4.23,,4.66,4.45,Unknown
02M151,YORKVILLE COMMUNITY SCHOOL,75,100,,4.69,4.18,4.94,,4.57,4.24,Unknown
02M158,P.S. 158 BAYARD TAYLOR,69,84,,4.25,3.47,4.71,,4.23,3.86,Unknown
02M167,J.H.S. 167 ROBERT F. WAGNER,56,92,83.0,3.81,2.96,4.02,,2.68,3.13,Unknown
02M177,YORKVILLE EAST MIDDLE SCHOOL,44,100,92.0,4.66,3.65,3.98,,3.89,3.85,Unknown
02M183,P.S. 183 ROBERT L. STEVENSON,52,58,,,,,,,3.96,Unknown
02M198,P.S. 198 ISADOR E. IDA STRAUS,92,71,,3.58,3.6,3.31,,4.35,4.13,Unknown
02M212,P.S. 212 MIDTOWN WEST,85,100,,4.83,4.5,4.51,,4.49,4.41,Unknown
02M217,P.S./I.S. 217 ROOSEVELT ISLAND,63,100,97.0,4.58,4.05,4.39,,4.23,3.6,Unknown
02M225,ELLA BAKER SCHOOL,87,100,98.0,3.6,3.54,3.6,,4.49,3.59,Unknown
02M234,P.S. 234 INDEPENDENCE SCHOOL,66,73,,4.65,3.75,4.48,,4.49,4.52,Unknown
02M255,M.S. 255 SALK SCHOOL OF SCIENCE,69,88,97.0,4.74,4.84,4.17,,4.26,4.79,Unknown
02M260,THE CLINTON SCHOOL,46,94,60.0,3.19,3.46,4.26,,2.19,3.15,Unknown
02M267,"EAST SIDE ELEMENTARY SCHOOL, PS 267",55,86,,4.34,3.43,4.91,,4.06,3.52,Unknown
02M276,BATTERY PARK CITY SCHOOL,51,90,96.0,,,,,,3.71,Unknown
02M280,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,26,68,51.0,3.67,3.14,3.33,,4.0,3.16,Unknown
02M281,THE RIVER SCHOOL,75,81,,4.22,3.67,3.71,,4.57,4.02,Unknown
02M282,URBAN ASSEMBLY MAKER ACADEMY,46,100,80.0,3.5,3.78,3.14,,4.0,4.06,Unknown
02M288,FOOD AND FINANCE HIGH SCHOOL,24,86,75.0,2.33,2.54,2.92,,1.92,2.55,Unknown
02M289,I.S. 289,58,100,98.0,4.18,3.7,4.0,,3.83,3.65,Unknown
02M290,P.S. 290 MANHATTAN NEW SCHOOL,53,88,,4.0,2.48,4.45,,4.23,2.85,Unknown
02M294,ESSEX STREET ACADEMY,40,100,88.0,4.72,4.38,4.44,,4.21,4.55,Unknown
